,Unnamed: 0,sex,IQR,Q25,Q75,cent,dfrange,ent,fpeak,kurt,maxdom,maxfun,meandom,meanfr,meanfun,median,mindom,minfun,mode,modindx,sfm,skew,std
0,0,1.0,2.3125,0.59375,2.90625,2.0680323716411944,7.9375,0.9163243716356414,0.125,21.917740629028515,7.9375,5.333333333333333,1.011055013927577,2.0680323716411944,0.9954685309755834,1.4375,0.0,0.06274509803921569,0.125,70.61811023622046,0.5821649144287292,3.489607721374804,1.9617650522193717
1,1,0.0,1.21875,0.40625,1.625,1.2753857680286242,2.3125,0.8230950833843801,0.21875,16.89235359878248,2.3125,5.333333333333333,0.34880455712451863,1.2753857680286242,0.7649924734614023,0.78125,0.0,0.06274509803921569,0.21875,47.48648648648647,0.3045815188113627,3.3586755722031834,1.3610114700587574
2,2,0.0,1.96875,0.53125,2.5,1.7322283872397175,7.46875,0.8850589364453022,0.25,17.152906903480172,7.46875,5.333333333333333,0.6716812015503876,1.7322283872397175,0.7845929804575663,1.0625,0.0,0.06349206349206349,0.25,52.25941422594142,0.4860556125035239,3.2854483268731696,1.7126552450142278
3,3,0.0,1.125,0.59375,1.71875,1.2879944432896062,2.5,0.8202993459828638,0.1875,7.625903060952003,2.5,5.333333333333333,0.6600496277915633,1.2879944432896062,0.6268683375618743,1.09375,0.0,0.06349206349206349,0.5625,96.5,0.19988741395999785,2.1077241981208905,1.0414360980491757
4,4,1.0,1.53125,0.28125,1.8125,1.3306416685104865,7.96875,0.8008359748424729,0.15625,24.529691896296438,7.96875,5.333333333333333,0.39732492175273865,1.3306416685104865,2.2054541097599083,0.53125,0.0,0.06324110671936757,0.15625,31.882352941176467,0.3762801630776725,4.367921554185261,1.7592000272174109
5,5,0.0,1.1875,0.53125,1.71875,1.5093813193148349,5.15625,0.8384479243050302,0.21875,8.670935061446487,5.15625,5.333333333333333,0.5007921419518377,1.5093813193148349,0.4602034418314391,0.90625,0.0,0.0653061224489796,0.5,31.12121212121212,0.3546563325328177,2.46807250696718,1.6803292146651434
6,6,1.0,1.375,0.34375,1.71875,1.426886428598379,7.6875,0.8101659327475959,0.15625,14.619450261385719,7.6875,5.333333333333333,0.6588564773735581,1.426886428598379,1.444225539579064,0.5625,0.0,0.06274509803921569,0.28125,42.044715447154466,0.3960920513584639,3.5355641298819704,1.9067076024458829
7,7,0.0,1.25,0.46875,1.71875,1.3816911227112851,6.21875,0.8403635137678027,0.1875,9.48898093816154,6.21875,5.333333333333333,0.4864838957055215,1.3816911227112851,0.6620832488818359,0.84375,0.0,0.06451612903225806,0.1875,28.306532663316585,0.3567021868507552,2.565983496710939,1.4799072756692997
8,8,1.0,2.09375,0.375,2.46875,1.5598266230995383,7.3125,0.8549701577278679,0.15625,13.584294850335723,7.3125,5.333333333333333,0.44097900390625,1.5598266230995383,1.7545903298272445,0.78125,0.0,0.06274509803921569,0.28125,31.15811965811966,0.4034907221059454,3.24890532978213,1.6322493059011156
9,9,0.0,2.125,0.375,2.5,1.5670431619407852,5.1875,0.8662495506369952,0.21875,15.3145647008845,5.1875,5.333333333333333,0.3859643240343348,1.5670431619407852,1.7245920077707846,0.9375,0.0,0.06274509803921569,0.21875,30.837349397590362,0.40583323271787575,3.2508134964985214,1.5924319675344587
