,meanfreq,sd,freq.median,freq.Q25,freq.Q75,freq.IQR,skew,kurt,sp.ent,time.ent,entropy,sfm,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,meanpeakf,sex
235,1.7729146510884028,1.987992888027461,0.7238367801751437,0.3761351244529736,2.776613221967724,2.40047809751475,4.906684160360527,34.39608777611561,0.9335785055145452,0.8923117153857649,0.8330430377029626,0.5016605204322905,1.9149911164472593,0.06274509803921569,5.333333333333333,0.883762668918919,0.03125,6.96875,6.9375,58.054054054054056,0.14211309523809523,0
236,1.7777787574539283,1.7170524788461348,1.1794722832013484,0.4585021833437302,2.397578083705161,1.9390759003614304,3.9095275629394,26.104305073502324,0.9474021845632065,0.892311806634335,0.8453781549169104,0.5127840585365114,0.9898255444409491,0.06274509803921569,5.333333333333333,0.6629689249720044,0.03125,6.59375,6.5625,37.29047619047619,0.23697916666666666,1
237,1.8446324791947424,1.850134873069399,1.0587717084367068,0.48530231096338555,2.6712793870447005,2.185977076081315,3.662438507245196,20.504680923801946,0.9484583018072841,0.8923121637858868,0.8463208795463454,0.5619708033746504,1.4796194405487495,0.06274509803921569,5.333333333333333,0.8658088235294118,0.03125,6.96875,6.9375,68.07657657657657,0.20535714285714285,1
238,1.1749411070073799,1.3138655431498691,0.6250363096967128,0.3883685160405526,1.4433402063819352,1.0549716903413826,4.008251305945462,22.43488439857156,0.9103178288004772,0.8923118920520714,0.8122874241856874,0.32404497063043447,1.3532717290725353,0.06349206349206349,5.333333333333333,0.43267569124423966,0.03125,5.96875,5.9375,16.173684210526314,0.23697916666666666,1
239,1.435554146443811,1.528499746661724,0.8304372877966085,0.4551021671531769,1.684541354958833,1.2294391878056563,3.9283182615058907,22.776111814400004,0.9245127513606552,0.8923116047372155,0.8249534567666446,0.40655526380811174,1.1375044757779058,0.06584362139917696,5.333333333333333,0.500807076446281,0.03125,6.875,6.84375,21.50228310502283,0.20535714285714285,0
240,1.7844204761383395,1.7540001077301952,1.212872442249725,0.3843684969928428,2.49887856608841,2.114510069095567,4.33207570462865,28.88314704718048,0.9458955906060027,0.8923114612670208,0.8440334766596739,0.5166486934011947,1.3745794967015563,0.06274509803921569,5.333333333333333,0.5520635673624289,0.03125,6.59375,6.5625,25.63809523809524,0.14211309523809523,1
241,1.0003541354832053,1.3696867524350596,0.43450206905747174,0.22920109143376874,1.1238053514540545,0.8946042600202858,5.469732386872538,41.3365513047838,0.8884713638641482,0.8923120993857545,0.7927937479337426,0.2637147706152709,2.2350547230367352,0.06557377049180327,5.333333333333333,0.28343023255813954,0.0625,4.84375,4.78125,25.352941176470587,0.14211309523809523,1
242,1.2353846742204078,1.4420831283315956,0.5823361063624112,0.34190162810299096,1.599807618131515,1.257905990028524,4.481454692492982,27.776202628859526,0.9130351981115992,0.8923115121286971,0.8147118182536855,0.3660983834707153,1.628045537501239,0.06299212598425197,5.333333333333333,0.49714305869074493,0.03125,5.75,5.71875,33.46448087431694,0.14211309523809523,1
243,1.1539440703799713,1.490215240519118,0.5601026671555579,0.2766013171491293,1.1465054595498074,0.8699041424006783,4.92526876828415,36.68785621939573,0.9034773526987201,0.8923124048159794,0.8061840492833697,0.33380494830198876,2.9251924597600993,0.06274509803921569,5.333333333333333,0.4102545766590389,0.03125,6.28125,6.25,42.19,0.11049107142857142,1
244,1.8594562466735112,1.8146174622985136,1.1438054466926033,0.5561026481078482,2.611612436249697,2.055509788141849,2.9202402725201115,13.65020332372163,0.9517892095732041,0.8923113540008298,0.8492923183176454,0.5332618731085006,1.2198004925574917,0.06274509803921569,5.333333333333333,1.1368867607526882,0.03125,6.96875,6.9375,55.612612612612615,0.14211309523809523,0
245,1.4427862990145437,1.5949736457479022,0.7470702241439245,0.45310215762932204,1.7126748222610584,1.2595726646317362,3.8700443419891557,21.40220017178383,0.9243202773137157,0.892311119310141,0.8247812612508615,0.4034066336784974,1.0083002717951741,0.06299212598425197,5.333333333333333,0.6960185860058309,0.03125,6.96875,6.9375,24.21171171171171,0.42671130952380953,1
246,1.971896820808803,1.6441262294044874,1.44047352606441,0.7152700727146319,2.744379735141596,2.029109662426964,2.7243548131033886,13.044893383032528,0.9567619875428678,0.8923126156849894,0.8537307916923457,0.5604046052423847,0.6228732521709375,0.06274509803921569,5.333333333333333,0.9631371359223301,0.03125,6.96875,6.9375,97.36036036036036,0.42671130952380953,0
247,1.5357490330043198,1.5338177291111241,0.9071043195443788,0.5333358730279668,1.9357425511550055,1.4024066781270386,3.5836093546657555,20.054717334509558,0.9352404721994527,0.8923110571184252,0.8345254144082288,0.45905127426600834,1.2138173545698963,0.06451612903225806,5.333333333333333,0.6278698979591837,0.0625,6.53125,6.46875,32.80193236714976,0.5848214285714286,1
248,1.933047562755171,1.7152087663475424,1.2925394882832775,0.7456702174772261,2.487545178786566,1.7418749613093398,2.8006796701482455,12.715446302745615,0.9491445485132026,0.8923118300565237,0.8469329090719888,0.495623089978272,0.7991545576330141,0.06274509803921569,5.333333333333333,1.0798199635369188,0.0625,6.96875,6.90625,83.23529411764706,0.3318452380952381,0
249,1.2779134263048246,1.4242186901289509,0.6937699703331921,0.38846851651674535,1.5311072909871,1.1426387744703548,3.762343948861045,21.08422937223949,0.920988622106371,0.8923117798358895,0.8218089966003393,0.38890727473396774,1.2635630050477356,0.06324110671936758,5.333333333333333,0.48214750260145683,0.03125,6.96875,6.9375,26.986486486486488,0.14211309523809523,1
250,1.499989605320918,1.5629978512658826,0.9023709636712556,0.4397020938194944,1.8446087838513519,1.4049066900318574,5.074410904656866,40.432604029713374,0.9243148794608987,0.8923116797549776,0.8247769627142743,0.3989352267650576,1.1556134054855403,0.06274509803921569,5.333333333333333,0.6936616056572379,0.0625,6.96875,6.90625,37.68778280542986,0.42671130952380953,0
251,1.2085314057878676,1.3593672277383428,0.6223029633474446,0.34970166524602503,1.6102743346396888,1.2605726693936639,4.402210461280926,27.66174128263674,0.9124807225221258,0.8923116420800864,0.8142171718801418,0.3199985129522957,1.4546567228024412,0.06374501992031872,5.333333333333333,0.4361444063926941,0.0625,4.03125,3.96875,24.763779527559056,0.23697916666666666,1
